LGA,SPEED_ODDS,ALCOHOL_ODDS
Wyndham,1.021791,11.181878
Geelong, 1.033098 ,9.621303
Brimbank,1.006063,7.906362
Yarra Ranges,1.039530,6.569752
Shepparton,1.048212,6.378146
Mornington Peninsula,1.032096,1.486298
