,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
,Quarter,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,,
LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number
Moira (S),Code 1,55.60%,1047,527,56.26%,981,455,60.23%,973,528,59.77%,950,522,58.05%,963,522
Monash (C),Code 1,84.19%,706,1904,84.22%,687,2002,84.38%,703,2247,84.55%,700,2110,84.26%,696,2065
Moonee Valley (C),Code 1,85.01%,699,1394,85.80%,710,1577,81.37%,752,1664,83.73%,721,1623,82.83%,732,1479
Moorabool (S),Code 1,52.75%,1059,345,58.36%,966,377,49.11%,1050,395,50.25%,1019,398,53.92%,960,395
Moreland (C),Code 1,83.15%,718,2391,84.84%,695,2335,82.17%,725,2765,84.56%,702,2481,84.27%,692,2377
Mornington Peninsula (S),Code 1,69.04%,816,2384,72.62%,775,2224,68.73%,806,2408,69.70%,800,2498,70.60%,793,2687
Mount Alexander (S),Code 1,51.88%,1098,239,45.85%,1117,205,43.80%,1140,242,39.78%,1207,269,48.58%,1093,212
Moyne (S),Code 1,38.69%,1221,168,33.95%,1165,162,35.67%,1157,157,35.97%,1107,139,34.69%,1183,147
Murrindindi (S),Code 1,36.65%,1253,221,28.37%,1406,208,33.84%,1372,198,33.60%,1372,247,33.78%,1290,225
Nillumbik (S),Code 1,58.64%,938,457,51.50%,981,532,49.32%,1018,590,49.01%,998,553,50.38%,1016,530
Northern Grampians (S),Code 1,59.57%,940,141,62.63%,930,190,59.89%,953,182,65.50%,895,171,57.98%,1038,188
Port Phillip (C),Code 1,85.99%,660,1527,88.62%,633,1441,87.54%,646,1501,86.09%,651,1553,86.18%,655,1556
Pyrenees (S),Code 1,41.73%,1143,127,34.04%,1211,94,36.36%,1281,121,39.53%,1215,129,42.62%,1192,122
Queenscliffe (B),Code 1,24.24%,1286,66,40.00%,1047,45,28.30%,1129,53,26.98%,1126,63,27.42%,1120,62
South Gippsland (S),Code 1,43.46%,1186,405,37.72%,1233,395,43.91%,1136,394,43.93%,1194,412,40.61%,1197,458
Southern Grampians (S),Code 1,65.36%,898,179,65.31%,926,196,68.53%,881,197,64.11%,965,209,71.17%,833,163
Stonnington (C),Code 1,86.73%,667,1115,86.75%,681,1155,85.05%,686,1224,84.74%,676,1258,86.86%,679,1218
