lga_name,dispatch_code,percent_less_15_mins_q3_2014,average_response_time_seconds_q3_2014,total_number_q3_2014,percent_less_15_mins_q4_2014,average_response_time_seconds_q4_2014,total_number_q4_2014,percent_less_15_mins_q1_2015,average_response_time_seconds_q1_2015,total_number_q1_2015,percent_less_15_mins_q2_2015,average_response_time_seconds_q2_2015,total_number_q2_2015,percent_less_15_mins_q3_2016,average_response_time_seconds_q3_2016,total_number_q3_2016,average_percent_under_15_minutes_2014-2016,average_response_time_seconds_2014-2016
Maribyrnong (C),Code 1,0.9042,598,1096,0.9049,584,1094,0.8847,632,1232,0.8709,644,1108,0.8684,658,1125,0.8866,623.2
Maroondah (C),Code 1,0.8708,675,1416,0.8714,650,1548,0.8528,669,1624,0.8550,657,1531,0.8489,660,1535,0.8598,662.2
Melbourne (C),Code 1,0.8941,596,2749,0.8913,598,2594,0.8785,600,2733,0.8838,616,2882,0.8904,591,2884,0.8876,600.2
Melton (S),Code 1,0.6951,796,1643,0.6959,808,1667,0.6451,870,1902,0.6985,821,1708,0.7351,783,1748,0.6939,815.6
Mildura (RC),Code 1,0.8224,674,901,0.8224,693,980,0.8268,676,1022,0.8045,696,931,0.8093,697,970,0.8171,687.2
Mitchell (S),Code 1,0.4345,1090,557,0.4598,1015,522,0.5526,996,570,0.6108,947,573,0.6043,933,599,0.5324,996.2
Moira (S),Code 1,0.5560,1047,527,0.5626,981,455,0.6023,973,528,0.5977,950,522,0.5805,963,522,0.5798,982.8
Monash (C),Code 1,0.8419,706,1904,0.8422,687,2002,0.8438,703,2247,0.8455,700,2110,0.8426,696,2065,0.8432,698.4
Moonee Valley (C),Code 1,0.8501,699,1394,0.8580,710,1577,0.8137,752,1664,0.8373,721,1623,0.8283,732,1479,0.8375,722.8
Moorabool (S),Code 1,0.5275,1059,345,0.5836,966,377,0.4911,1050,395,0.5025,1019,398,0.5392,960,395,0.5288,1010.8
Moreland (C),Code 1,0.8315,718,2391,0.8484,695,2335,0.8217,725,2765,0.8456,702,2481,0.8427,692,2377,0.8380,706.4
Mornington Peninsula (S),Code 1,0.6904,816,2384,0.7262,775,2224,0.6873,806,2408,0.6970,800,2498,0.7060,793,2687,0.7014,798
Mount Alexander (S),Code 1,0.5188,1098,239,0.4585,1117,205,0.4380,1140,242,0.3978,1207,269,0.4858,1093,212,0.4598,1131
Moyne (S),Code 1,0.3869,1221,168,0.3395,1165,162,0.3567,1157,157,0.3597,1107,139,0.3469,1183,147,0.3579,1166.6
Murrindindi (S),Code 1,0.3665,1253,221,0.2837,1406,208,0.3384,1372,198,0.3360,1372,247,0.3378,1290,225,0.3325,1338.6
Nillumbik (S),Code 1,0.5864,938,457,0.5150,981,532,0.4932,1018,590,0.4901,998,553,0.5038,1016,530,0.5177,990.2
Northern Grampians (S),Code 1,0.5957,940,141,0.6263,930,190,0.5989,953,182,0.6550,895,171,0.5798,1038,188,0.6111,951.2
Port Phillip (C),Code 1,0.8599,660,1527,0.8862,633,1441,0.8754,646,1501,0.8609,651,1553,0.8618,655,1556,0.8688,649
Pyrenees (S),Code 1,0.4173,1143,127,0.3404,1211,94,0.3636,1281,121,0.3953,1215,129,0.4262,1192,122,0.3886,1208.4
